#   No. of|        Total|        Power|        Inlet|       Outlet|       Energy|       Energy|        Total|       Global|
#Timesteps|         Time|     Supplied|       Energy|       Energy|       Stored|       Stored|       Energy|       Energy|
#         |             |             |             |             |      Coolant|        Solid|      Storage|      Balance|
#         |        [sec]|         [kW]|         [kW]|         [kW]|         [kW]|         [kW]|          [%]|          [%]|
#=========================================================================================================================
        10        0.0448        0.0000      347.8274      347.3878        0.0000        0.0000        0.0000        0.1264
        20        0.0946        0.0000      349.2485      347.3881        0.0000        0.0000        0.0000        0.5327
        30        0.1444        0.0000      351.3519      347.3869        0.0000        0.0000        0.0000        1.1285
        40        0.1941        0.0000      353.7053      347.3838        0.0000        0.0000        0.0000        1.7872
        50        0.2439        0.0000      355.8639      347.3785        0.0000        0.0000        0.0000        2.3845
        60        0.2937        0.0000      357.4936      347.3710        0.0000        0.0000        0.0000        2.8316
        70        0.3435        0.0000      358.4607      347.3626        0.0000        0.0000        0.0000        3.0960
        80        0.3932        0.0000      358.8517      347.3547        0.0000        0.0000        0.0000        3.2038
        90        0.4430        0.0000      358.9063      347.3491        0.0000        0.0000        0.0000        3.2201
       100        0.4928        0.0000      358.8792      347.3473        0.0000        0.0000        0.0000        3.2133
       110        0.5425        0.0000      358.8977      347.8872        0.0000        0.0000        0.0000        3.0679
       120        0.5923        0.0000      358.8897      349.3902        0.0000        0.0000        0.0000        2.6469
       130        0.6421        0.0000      358.6248      351.5330        0.0000        0.0000        0.0000        1.9775
       140        0.6919        0.0000      357.8428      353.8757        0.0000        0.0000        0.0000        1.1086
       150        0.7416        0.0000      356.4018      355.9823        0.0000        0.0000        0.0000        0.1177
       160        0.7914        0.0000      354.3701      357.5393        0.0000        0.0000        0.0000       -0.8943
       170        0.8412        0.0000      352.0302      358.4367        0.0000        0.0000        0.0000       -1.8199
       180        0.8910        0.0000      349.8067      358.7813        0.0000        0.0000        0.0000       -2.5656
       190        0.9407        0.0000      348.1485      358.8183        0.0000        0.0000        0.0000       -3.0647
       200        0.9905        0.0000      347.4076      358.7936        0.0000        0.0000        0.0000       -3.2774
       210        1.0403        0.0000      347.7445      358.8158        0.0000        0.0000        0.0000       -3.1837
       220        1.0901        0.0000      349.0861      358.7960        0.0000        0.0000        0.0000       -2.7815
       230        1.1399        0.0000      351.1446      358.4967        0.0000        0.0000        0.0000       -2.0937
       240        1.1896        0.0000      353.4943      357.6632        0.0000        0.0000        0.0000       -1.1793
       250        1.2394        0.0000      355.6868      356.1689        0.0000        0.0000        0.0000       -0.1355
       260        1.2892        0.0000      357.3731      354.1002        0.0000        0.0000        0.0000        0.9158
       270        1.3390        0.0000      358.3998      351.7570        0.0000        0.0000        0.0000        1.8534
       280        1.3887        0.0000      358.8345      349.5713        0.0000        0.0000        0.0000        2.5815
       290        1.4385        0.0000      358.9078      347.9900        0.0000        0.0000        0.0000        3.0419
       300        1.4883        0.0000      358.8803      347.3519        0.0000        0.0000        0.0000        3.2123
       310        1.5380        0.0000      358.8947      347.7954        0.0000        0.0000        0.0000        3.0926
       320        1.5878        0.0000      358.8972      349.2222        0.0000        0.0000        0.0000        2.6958
       330        1.6376        0.0000      358.6668      351.3242        0.0000        0.0000        0.0000        2.0472
       340        1.6874        0.0000      357.9398      353.6676        0.0000        0.0000        0.0000        1.1936
       350        1.7371        0.0000      356.5590      355.8111        0.0000        0.0000        0.0000        0.2098
       360        1.7869        0.0000      354.5720      357.4257        0.0000        0.0000        0.0000       -0.8048
       370        1.8367        0.0000      352.2439      358.3813        0.0000        0.0000        0.0000       -1.7424
       380        1.8865        0.0000      349.9909      358.7670        0.0000        0.0000        0.0000       -2.5075
       390        1.9362        0.0000      348.2648      358.8205        0.0000        0.0000        0.0000       -3.0309
       400        1.9860        0.0000      347.4310      358.7941        0.0000        0.0000        0.0000       -3.2706
