# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
         49        5.2894640419        5.3004506676        2.3374314827  7809885.1544054402        0.0000000000
         50        5.4864516179        5.4979164458        2.3918735962  7994784.6014798768        0.0000000000
         51        5.6851293239        5.6970787446        2.4447839367  8174571.6187052643        0.0000000000
         52        5.8853068994        5.8977469078        2.4961200190  8349047.6022467222        0.0000000000
         53        6.0868350839        6.0997688804        2.5458032282  8517979.3812335767        0.0000000000
         54        6.2895421982        6.3029679486        2.5937750606  8681165.2122621424        0.0000000000
         55        6.4932377489        6.5071518437        2.6399970385  8838447.3096684944        0.0000000000
         56        6.6977461357        6.7121416414        2.6844185151  8989655.5020070970        0.0000000000
         57        6.9028324196        6.9177117601        2.7270432953  9134753.2334744800        0.0000000000
         58        7.1082952412        7.1236571424        2.7678470436  9273637.8670214526        0.0000000000
         59        7.3139500220        7.3297907284        2.8067911945  9406206.9494760260        0.0000000000
         60        7.5195900630        7.5359001924        2.8438597212  9532392.1865948457        0.0000000000
         61        7.7249948968        7.7417654730        2.8790518451  9652176.3882792573        0.0000000000
         62        7.9299404188        7.9471626584        2.9123700022  9765558.7368715107        0.0000000000
         63        8.1341992730        8.1518639568        2.9438221290  9872558.7524318267        0.0000000000
         64        8.3375419557        8.3556390037        2.9734213251  9973215.6001375392        0.0000000000
         65        8.5397358443        8.5582534785        3.0011840356 10067582.0878054518        0.0000000000
         66        8.7405427790        8.7594682723        3.0271341855 10155736.5617802255        0.0000000000
         67        8.9397214101        8.9590411634        3.0513011711 10237777.2347378470        0.0000000000
         68        9.1370289880        9.1567286095        3.0737200414 10313822.6106414814        0.0000000000
         69        9.3322179702        9.3522823851        3.0944306977 10384008.7920473553        0.0000000000
         70        9.5250399630        9.5454530015        3.1134766090 10448485.7785686459        0.0000000000
         71        9.7152431118        9.7359884026        3.1309082780 10507427.1061371658        0.0000000000
         72        9.9025758101        9.9236367213        3.1467799360 10561020.4563688282        0.0000000000
         73       10.0867857148       10.1081447905        3.1611476283 10609461.6949905530        0.0000000000
         74       10.2676185161       10.2892582692        3.1740732006 10652965.9319535214        0.0000000000
         75       10.4448219978       10.4667250720        3.1856216760 10691759.9875048697        0.0000000000
         76       10.6181852637       10.6403228940        3.1958225357 10725969.0562616009        0.0000000000
         77       10.7873972081       10.8097586717        3.2047997163 10755985.4828247000        0.0000000000
         78       10.9521832144       10.9747624218        3.2126476525 10782117.0179562084        0.0000000000
         79       11.1123333010       11.1351185969        3.2194081183 10804548.6046520583        0.0000000000
