#   No. of|        Total|        Power|        Inlet|       Outlet|       Energy|       Energy|        Total|       Global|
#Timesteps|         Time|     Supplied|       Energy|       Energy|       Stored|       Stored|       Energy|       Energy|
#         |             |             |             |             |      Coolant|        Solid|      Storage|      Balance|
#         |        [sec]|         [kW]|         [kW]|         [kW]|         [kW]|         [kW]|          [%]|          [%]|
#=========================================================================================================================
        10        0.0448        0.0000      347.8272      347.3871        0.4391        0.0000   416163.3890        0.1265
        20        0.0945        0.0000      349.2466      347.3838        1.8555        0.0000  1758699.5812        0.5334
        30        0.1442        0.0000      351.3460      347.3748        3.9493        0.0000  3743172.6178        1.1303
        40        0.1939        0.0000      353.6942      347.3593        6.2891        0.0000  5960950.0620        1.7911
        50        0.2435        0.0000      355.8496      347.3381        8.4349        0.0000  7994784.6015        2.3919
        60        0.2932        0.0000      357.4801      347.3139       10.0572        0.0000  9532392.1866        2.8439
        70        0.3428        0.0000      358.4520      347.2917       11.0237        0.0000 10448485.7786        3.1135
        80        0.3924        0.0000      358.8488      347.2757       11.4192        0.0000 10823279.9269        3.2251
        90        0.4421        0.0000      358.9067      347.2679       11.4829        0.0000 10883716.6875        3.2428
       100        0.4917        0.0000      358.8795      347.2667       11.5092        0.0000 10908610.8506        3.2359
       110        0.5413        0.0000      358.8969      347.6789       11.1159        0.0000 10535830.8169        3.1257
       120        0.5910        0.0000      358.8920      349.0556        9.7676        0.0000  9257908.8833        2.7408
       130        0.6406        0.0000      358.6387      351.1163        7.9579        0.0000  7542614.3330        2.0975
       140        0.6903        0.0000      357.8777      353.4444        6.3920        0.0000  6058487.4817        1.2388
       150        0.7399        0.0000      356.4628      355.6066        5.6476        0.0000  5352934.7271        0.2402
       160        0.7896        0.0000      354.4541      357.2707        6.0028        0.0000  5689547.9973       -0.7946
       170        0.8392        0.0000      352.1248      358.2756        7.3294        0.0000  6946907.3678       -1.7468
       180        0.8889        0.0000      349.8925      358.7009        9.1412        0.0000  8664204.1292       -2.5175
       190        0.9386        0.0000      348.2045      358.7706       10.7593        0.0000 10197857.8611       -3.0344
       200        0.9883        0.0000      347.4191      358.7436       11.5176        0.0000 10916619.5215       -3.2596
       210        1.0381        0.0000      347.7085      358.7608       11.8477        0.0000 11229437.2735       -3.1786
       220        1.0878        0.0000      349.0090      358.7609       13.1174        0.0000 12432876.0270       -2.7942
       230        1.1376        0.0000      351.0401      358.5157       14.8888        0.0000 14111820.5626       -2.1295
       240        1.1872        0.0000      353.3812      357.7614       16.4587        0.0000 15599819.6858       -1.2395
       250        1.2369        0.0000      355.5850      356.3506       17.2362        0.0000 16336755.8857       -0.2153
       260        1.2865        0.0000      357.2985      354.3447       16.9353        0.0000 16051538.6103        0.8267
       270        1.3361        0.0000      358.3587      352.0174       15.6643        0.0000 14846882.3693        1.7696
       280        1.3858        0.0000      358.8211      349.7872       13.9001        0.0000 13174737.0216        2.5177
       290        1.4354        0.0000      358.9086      348.1022       12.3093        0.0000 11666999.9606        3.0109
       300        1.4850        0.0000      358.8814      347.3048       11.5402        0.0000 10938002.4811        3.2257
       310        1.5347        0.0000      358.8923      347.5649       11.2276        0.0000 10641700.6290        3.1562
       320        1.5843        0.0000      358.9011      348.8243        9.9916        0.0000  9470169.4255        2.8077
       330        1.6340        0.0000      358.6972      350.8152        8.2045        0.0000  7776340.9406        2.1974
       340        1.6836        0.0000      358.0166      353.1331        6.5676        0.0000  6224876.6105        1.3640
       350        1.7332        0.0000      356.6911      355.3402        5.6886        0.0000  5391722.8741        0.3787
       360        1.7829        0.0000      354.7504      357.0810        5.8999        0.0000  5592072.3860       -0.6570
       370        1.8325        0.0000      352.4417      358.1732        7.1169        0.0000  6745491.2638       -1.6262
       380        1.8822        0.0000      350.1695      358.6703        8.8941        0.0000  8429990.1212       -2.4276
       390        1.9319        0.0000      348.3843      358.7719       10.5808        0.0000 10028655.0305       -2.9817
       400        1.9817        0.0000      347.4627      358.7458       11.4767        0.0000 10877839.2420       -3.2473
