# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
          1        0.0000000000       97.2664449316        0.0000000000523321249.8926005363        0.0000000000
          2        0.0025282087        0.0025300545        0.0015863052     5223.5568623080        0.0000000000
          3        0.0101096513        0.0101173586        0.0063426609    20874.5953027305        0.0000000000
          4        0.0227380486        0.0227563181        0.0142616556    46912.3537682336        0.0000000000
          5        0.0404068938        0.0404407960        0.0253249468    83283.8626822763        0.0000000000
          6        0.0631055458        0.0631605826        0.0395060248   129907.6191107483        0.0000000000
          7        0.0908229495        0.0909067504        0.0567730153   186687.3685237600        0.0000000000
          8        0.1235440353        0.1236650900        0.0770852048   253495.9906444157        0.0000000000
          9        0.1612807528        0.1614339091        0.1003667725   330180.7970998398        0.0000000000
         10        0.2039524051        0.2041545398        0.1266261552   416548.8689365032        0.0000000000
         11        0.2515664739        0.2518352473        0.1557723494   512446.6731375078        0.0000000000
         12        0.3041564760        0.3044763827        0.1876828608   617617.7657163765        0.0000000000
         13        0.3615995163        0.3619943283        0.2223801386   731864.7674888686        0.0000000000
         14        0.4239491203        0.4244243478        0.2597038365   854922.2437985946        0.0000000000
         15        0.4911233501        0.4916913182        0.2996191985   986526.7847227617        0.0000000000
         16        0.5631408674        0.5638083685        0.3419859631  1126379.9835828762        0.0000000000
         17        0.6399064268        0.6406880974        0.3867667918  1274187.8281447783        0.0000000000
         18        0.7214632133        0.7223644728        0.4337813543  1429602.4116712580        0.0000000000
         19        0.8076915605        0.8087281386        0.4830031409  1592324.8881523979        0.0000000000
         20        0.8985862578        0.8997698569        0.5342847586  1761975.0469598456        0.0000000000
         21        0.9941453070        0.9954827149        0.5874691991  1938170.4795693276        0.0000000000
         22        1.0942503196        1.0957577977        0.6425113018  2120584.5874461629        0.0000000000
         23        1.1988811279        1.2005715059        0.6992587767  2308793.5017790599        0.0000000000
         24        1.3079996014        1.3098843517        0.7575739754  2502397.9389585657        0.0000000000
         25        1.4215516699        1.4236423284        0.8173279690  2700983.8882897254        0.0000000000
         26        1.5394746154        1.5417836892        0.8783981890  2904137.9495964563        0.0000000000
         27        1.6616849130        1.6642278301        0.9406748203  3111458.6645830311        0.0000000000
         28        1.7881391595        1.7909289707        1.0040059792  3322492.5531053138        0.0000000000
         29        1.9187738013        1.9218231408        1.0682541402  3536803.0612716912        0.0000000000
         30        2.0535172666        2.0568390405        1.1332876410  3753953.1381108523        0.0000000000
         31        2.1922922611        2.1958997846        1.1989756070  3973505.5678332993        0.0000000000
         32        2.3350212737        2.3389278688        1.2651847976  4195017.9906970132        0.0000000000
