# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
          1        0.0000000000        0.0000000000        0.0000000000        0.0000010037        0.0000000000
          2        0.0025298589        0.0000000000        0.0015846548        0.0000010011        0.0000000000
          3        0.0101172029        0.0000000000        0.0063351096        0.0000010016        0.0000000000
          4        0.0227576728        0.0000000000        0.0142423186        0.0000010014        0.0000000000
          5        0.0404460808        0.0000000000        0.0252876179        0.0000010014        0.0000000000
          6        0.0631735976        0.0000000000        0.0394444535        0.0000010011        0.0000000000
          7        0.0909316264        0.0000000000        0.0566806767        0.0000010013        0.0000000000
          8        0.1237077013        0.0000000000        0.0769552960        0.0000010016        0.0000000000
          9        0.1615067972        0.0000000000        0.1002018721        0.0000010015        0.0000000000
         10        0.2042685914        0.0000000000        0.1264109639        0.0000010013        0.0000000000
         11        0.2520016361        0.0000000000        0.1554927570        0.0000010016        0.0000000000
         12        0.3047191878        0.0000000000        0.1873471868        0.0000010016        0.0000000000
         13        0.3623258938        0.0000000000        0.2219715239        0.0000010018        0.0000000000
         14        0.4248645284        0.0000000000        0.2592180412        0.0000010015        0.0000000000
         15        0.4922625391        0.0000000000        0.2990446947        0.0000010016        0.0000000000
         16        0.5645307035        0.0000000000        0.3413208362        0.0000010016        0.0000000000
         17        0.6415901719        0.0000000000        0.3859946274        0.0000010015        0.0000000000
         18        0.7234683848        0.0000000000        0.4329028207        0.0000010017        0.0000000000
         19        0.8100639751        0.0000000000        0.4820023930        0.0000010017        0.0000000000
         20        0.9013725382        0.0000000000        0.5331463632        0.0000010014        0.0000000000
         21        0.9973757762        0.0000000000        0.5861949579        0.0000010019        0.0000000000
         22        1.0979746611        0.0000000000        0.6410851292        0.0000010014        0.0000000000
         23        1.2031518742        0.0000000000        0.6976625098        0.0000010020        0.0000000000
         24        1.3128623393        0.0000000000        0.7557970375        0.0000010022        0.0000000000
         25        1.4270503900        0.0000000000        0.8153618691        0.0000010023        0.0000000000
         26        1.5456572731        0.0000000000        0.8762310275        0.0000010020        0.0000000000
         27        1.6686088247        0.0000000000        0.9382857712        0.0000010022        0.0000000000
         28        1.7958592857        0.0000000000        1.0013765836        0.0000010025        0.0000000000
         29        1.9273410860        0.0000000000        1.0653697293        0.0000010026        0.0000000000
         30        2.0629832560        0.0000000000        1.1301327440        0.0000010021        0.0000000000
         31        2.2027107996        0.0000000000        1.1955320595        0.0000010028        0.0000000000
         32        2.3464473496        0.0000000000        1.2614327630        0.0000010028        0.0000000000
         33        2.4941119783        0.0000000000        1.3277003461        0.0000010029        0.0000000000
         34        2.6456194586        0.0000000000        1.3942022372        0.0000010027        0.0000000000
         35        2.8008817703        0.0000000000        1.4608069975        0.0000010033        0.0000000000
         36        2.9598054340        0.0000000000        1.5273837927        0.0000010034        0.0000000000
         37        3.1222934444        0.0000000000        1.5938069109        0.0000010034        0.0000000000
         38        3.2882509277        0.0000000000        1.6599424507        0.0000010040        0.0000000000
         39        3.4575596046        0.0000000000        1.7256810412        0.0000010037        0.0000000000
         40        3.6301073996        0.0000000000        1.7909039846        0.0000010041        0.0000000000
         41        3.8057874961        0.0000000000        1.8554879533        0.0000010043        0.0000000000
         42        3.9844784666        0.0000000000        1.9193201571        0.0000010046        0.0000000000
         43        4.1660541976        0.0000000000        1.9822962680        0.0000010045        0.0000000000
         44        4.3503841992        0.0000000000        2.0443104008        0.0000010053        0.0000000000
         45        4.5373527344        0.0000000000        2.1052468260        0.0000010055        0.0000000000
